##	TAG	<div1>
##	TAG	<head>
1	TOK	CITES	BOS	cite\VMFDRS3
##	TAG	<name>
2	TOK	Text		Text\N46
##	TAG	</name>
3	TOK	of		of\P
4	TOK	the		the\AT---6
##	TAG	<name>
5	TOK	Convention	EOS	Convention\N46
##	TAG	</name>
##	TAG	</head>
##	TAG	<head>
7	TOK	Convention	BOS	convention\N5S
8	TOK	on		on\P
##	TAG	<name>
9	TOK	International Trade		International_Trade\N46
##	TAG	</name>
10	TOK	in		in\P
##	TAG	<name>
11	TOK	Endangered Species of Wild Fauna		Endangered_Species_of_Wild_Fauna\N46
##	TAG	</name>
12	TOK	and		and\CC
##	TAG	<name>
13	TOK	Flora	EOS	Flora\N46
##	TAG	</name>
##	TAG	</head>
##	TAG	<list>
##	TAG	<item label="-">
##	TAG	<s>
15	TOK	Preamble	BOS	preamble\N5S
tf	TOK		EOS	=\DELS
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
17	TOK	Definitions	BOS	definition\N5P
tf	TOK		EOS	=\DELS
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
19	TOK	Fundamental	BOS	fundamental\JA
20	TOK	principles	EOS	principle\N5P
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
22	TOK	Regulation	BOS	regulation\N5S
23	TOK	of		of\P
##	TAG	<name>
24	TOK	Trade		Trade\N46
##	TAG	</name>
25	TOK	in		in\P
##	TAG	<name>
26	TOK	Specimens of Species		Specimens_of_Species\N46
##	TAG	</name>
27	TOK	included		include\VMC----
28	TOK	in		in\P
##	TAG	<name>
29	TOK	Appendix I	EOS	Appendix_I\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
31	TOK	Article	BOS	article\N5S
##	TAG	<num>
32	TOK	IV		IV\X
##	TAG	</num>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
34	TOK	Regulation	BOS	regulation\N5S
35	TOK	of		of\P
##	TAG	<name>
36	TOK	Trade		Trade\N46
##	TAG	</name>
37	TOK	in		in\P
##	TAG	<name>
38	TOK	Specimens of Species		Specimens_of_Species\N46
##	TAG	</name>
39	TOK	included		include\VMC----
40	TOK	in		in\P
##	TAG	<name>
41	TOK	Appendix		Appendix\N46
##	TAG	</name>
##	TAG	<num>
42	TOK	II	EOS	II\X
##	TAG	</num>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
44	TOK	Article	BOS	article\N5S
45	TOK	V		V\N5P
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
46	TOK	Regulation	BOS	regulation\N5S
47	TOK	of		of\P
##	TAG	<name>
48	TOK	Trade		Trade\N46
##	TAG	</name>
49	TOK	in		in\P
##	TAG	<name>
50	TOK	Specimens of Species		Specimens_of_Species\N46
##	TAG	</name>
51	TOK	included		include\VMC----
52	TOK	in		in\P
##	TAG	<name>
53	TOK	Appendix		Appendix\N46
##	TAG	</name>
##	TAG	<num>
54	TOK	III	EOS	III\X
##	TAG	</num>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
56	TOK	Article	BOS	article\N5S
##	TAG	<num>
57	TOK	VI		VI\X
##	TAG	</num>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
59	TOK	Permits	BOS	permit\N5P
60	TOK	and		and\CC
##	TAG	<name>
61	TOK	Certificates	EOS	Certificates\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
63	TOK	Article	BOS	article\N5S
##	TAG	<num>
64	TOK	VII		VII\X
##	TAG	</num>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
66	TOK	Exemptions	BOS	exemption\N5P
67	TOK	and		and\CC
##	TAG	<name>
68	TOK	Other Special Provisions		Other_Special_Provisions\N46
##	TAG	</name>
##	TAG	<loc pos="P">
69	TOK	Relating to		Relating_to\P
##	TAG	</loc>
##	TAG	<name>
70	TOK	Trade	EOS	Trade\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
72	TOK	Article	BOS	article\N5S
##	TAG	<num>
73	TOK	VIII		VIII\X
##	TAG	</num>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
