##	TAG	<div1>
##	TAG	<head>
1	TOK	Introduction	BOS	introduction\N5S
tf	TOK		EOS	=\DELS
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
3	TOK	A	BOS	a\AI---S
4	TOK	clear		clear\JA
5	TOK	picture		picture\N5S
6	TOK	of		of\P
7	TOK	the		the\AT---6
8	TOK	state		state\N5S
9	TOK	of		of\P
10	TOK	the		the\AT---6
11	TOK	environment		environment\N5S
12	TOK	in		in\P
##	TAG	<name>
13	TOK	Europe		Europe\N46
##	TAG	</name>
14	TOK	and		and\CC
15	TOK	the		the\AT---6
16	TOK	main		main\JA
17	TOK	areas		area\N5P
18	TOK	requiring		require\VMG----
19	TOK	action		action\N5S
20	TOK	at		at\P
21	TOK	national		national\JA
22	TOK	or		or\CC
23	TOK	international		international\JA
24	TOK	level		level\N5S
25	TOK	are		be\V6FDR66
26	TOK	presented		present\VMC----
27	TOK	in		in\P
28	TOK	the		the\AT---6
29	TOK	report		report\N5S
---	DLD	,		=\DELIM
##	TAG	<name>
30	TOK	Europe		Europe\N46
##	TAG	</name>
31	TOK	s		s\N5S
##	TAG	<name>
32	TOK	Environment		Environment\N46
##	TAG	</name>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
33	TOK	The	BOS	the\AT---6
##	TAG	<name>
34	TOK	Second Assessment		Second_Assessment\N46
##	TAG	</name>
---	DLE	,		=\DELIM
35	TOK	summarised		summarise\VMC----
36	TOK	in		in\P
37	TOK	this		this\AD---S
38	TOK	overview		overview\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
39	TOK	Designed	BOS	design\VMC----
40	TOK	to		to\P
41	TOK	form		form\VMI----
42	TOK	a		a\AI---S
43	TOK	key		key\N5S
44	TOK	input		input\N5S
45	TOK	to		to\P
46	TOK	the		the\AT---6
##	TAG	<date pos="T" ISO8601="1998-06-">
47	TOK	June 1998		June_1998\T
##	TAG	</date>
##	TAG	<name>
48	TOK	Environment for Europe Conference		Environment_for_Europe_Conference\N46
##	TAG	</name>
49	TOK	in		in\P
##	TAG	<name>
50	TOK	Aarhus		Aarhus\N46
##	TAG	</name>
---	DLE	,		=\DELIM
51	TOK	the		the\AT---6
52	TOK	fourth		fourth\MOS
53	TOK	meeting		meeting\N5S
54	TOK	of		of\P
##	TAG	<name>
55	TOK	Environment Ministers		Environment_Ministers\N46
##	TAG	</name>
56	TOK	of		of\P
57	TOK	all		all\AG---6
##	TAG	<loc pos="JA">
58	TOK	European		european\JA
##	TAG	</loc>
59	TOK	countries		country\N5P
---	DLD	,		=\DELIM
60	TOK	the		the\AT---6
61	TOK	report		report\N5S
62	TOK	builds		build\VMFDRS3
63	TOK	on		on\P
64	TOK	and		and\CC
65	TOK	updates		update\VMFDRS3
##	TAG	<name>
66	TOK	Europe		Europe\N46
##	TAG	</name>
67	TOK	s		s\N5S
##	TAG	<name>
68	TOK	Environment		Environment\N46
##	TAG	</name>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
69	TOK	The	BOS	the\AT---6
##	TAG	<name>
70	TOK	Dobris Assessment		Dobris_Assessment\N46
##	TAG	</name>
---	DLE	,		=\DELIM
71	TOK	the		the\AT---6
72	TOK	first		first\MOS
73	TOK	pan		pan\VMF6R66
---	DLD	-		=\DELIM
##	TAG	<loc pos="JA">
74	TOK	European		european\JA
##	TAG	</loc>
75	TOK	state		state\N5S
76	TOK	of		of\P
77	TOK	the		the\AT---6
78	TOK	environment		environment\N5S
79	TOK	report		report\N5S
80	TOK	published		publish\VMC----
81	TOK	in		in\P
##	TAG	<num>
82	TOK	1995		1995\X
##	TAG	</num>
83	TOK	by		by\P
84	TOK	the		the\AT---6
##	TAG	<name pos="N46" type="organization">
85	TOK	European Environment Agency		European_Environment_Agency\N46
##	TAG	</name>
---	DLE	(		=\DELIM
##	TAG	<name pos="N46" type="organization">
86	TOK	EEA		EEA\N46
##	TAG	</name>
---	DLE	)		=\DELIM
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
87	TOK	That	BOS	that\CS
88	TOK	comprehensive		comprehensive\JA
89	TOK	report		report\N5S
90	TOK	covered		cover\VMF6A66
##	TAG	<num>
91	TOK	46		46\X
##	TAG	</num>
92	TOK	countries		country\N5P
93	TOK	and		and\CC
---	DLD	,		=\DELIM
94	TOK	based		base\VMC----
95	TOK	largely		largely\DGA7
96	TOK	on		on\P
97	TOK	data		data\N56
98	TOK	up		up\P
99	TOK	to		to\P
100	TOK	around		around\DGA7
##	TAG	<num>
101	TOK	1992		1992\X
##	TAG	</num>
---	DLE	,		=\DELIM
102	TOK	provided		provide\VMC----
103	TOK	an		an\AI---S
104	TOK	assessment		assessment\N5S
105	TOK	of		of\P
106	TOK	the		the\AT---6
107	TOK	state		state\N5S
108	TOK	of		of\P
109	TOK	the		the\AT---6
110	TOK	environment		environment\N5S
111	TOK	throughout		throughout\P
##	TAG	<name>
112	TOK	Europe		Europe\N46
##	TAG	</name>
113	TOK	at		at\P
114	TOK	that		that\AD---S
115	TOK	time		time\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
116	TOK	The	BOS	the\AT---6
##	TAG	<name>
117	TOK	Dobris		Dobris\N46
##	TAG	</name>
118	TOK	assessment		assessment\N5S
119	TOK	was		be\V6F-A66
120	TOK	presented		present\VMC----
121	TOK	to		to\P
122	TOK	the		the\AT---6
123	TOK	third		third\MOS
124	TOK	conference		conference\N5S
125	TOK	of		of\P
##	TAG	<name>
126	TOK	Environment Ministers		Environment_Ministers\N46
##	TAG	</name>
127	TOK	of		of\P
128	TOK	all		all\AG---6
##	TAG	<loc pos="JA">
129	TOK	European		european\JA
##	TAG	</loc>
130	TOK	countries		country\N5P
---	DLD	,		=\DELIM
131	TOK	which		which\RW63N-
132	TOK	met		meet\VMF6A66
133	TOK	in		in\P
##	TAG	<name>
134	TOK	Sofia		Sofia\N46
##	TAG	</name>
135	TOK	in		in\P
##	TAG	<date pos="T" ISO8601="1995-10-">
136	TOK	October 1995		October_1995\T
##	TAG	</date>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
137	TOK	These	BOS	this\AD---P
138	TOK	conferences		conference\N5P
139	TOK	aim		aim\VMF6R66
140	TOK	to		to\P
141	TOK	set		set\VMI----
142	TOK	out		out\DGA7
143	TOK	principles		principle\N5P
144	TOK	and		and\CC
145	TOK	policies		policy\N5P
146	TOK	for		for\P
147	TOK	improving		improve\VMG----
148	TOK	the		the\AT---6
149	TOK	environment		environment\N5S
---	DLD	,		=\DELIM
150	TOK	moving		move\VMG----
151	TOK	towards		towards\P
152	TOK	convergence		convergence\N5S
153	TOK	of		of\P
154	TOK	environmental		environmental\JA
155	TOK	policies		policy\N5P
156	TOK	in		in\P
157	TOK	the		the\AT---6
158	TOK	pan		pan\N5S
---	DLD	-		=\DELIM
##	TAG	<loc pos="JA">
159	TOK	European		european\JA
##	TAG	</loc>
160	TOK	region		region\N5S
---	DLD	,		=\DELIM
161	TOK	and		and\CC
162	TOK	achieving		achieve\VMG----
163	TOK	a		a\AI---S
164	TOK	more		more\DDC7
165	TOK	sustainable		sustainable\JA
166	TOK	pattern		pattern\N5S
167	TOK	of		of\P
168	TOK	development		development\N5S
169	TOK	in		in\P
##	TAG	<name>
170	TOK	Europe		Europe\N46
##	TAG	</name>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
171	TOK	At	BOS	at\P
172	TOK	the		the\AT---6
##	TAG	<name>
173	TOK	Sofia		Sofia\N46
##	TAG	</name>
174	TOK	meeting		meet\VMG----
---	DLD	,		=\DELIM
175	TOK	the		the\AT---6
##	TAG	<name>
176	TOK	Ministers		Ministers\N46
##	TAG	</name>
177	TOK	welcomed		welcome\VMF6A66
178	TOK	the		the\AT---6
179	TOK	report		report\N5S
180	TOK	as		as\P
181	TOK	an		an\AI---S
182	TOK	important		important\JA
183	TOK	baseline		baseline\N5S
184	TOK	document		document\N5S
185	TOK	against		against\P
186	TOK	which		which\RW63N-
187	TOK	future		future\N5S
188	TOK	progress		progress\N5S
189	TOK	under		under\P
190	TOK	the		the\AT---6
##	TAG	<name>
191	TOK	Environmental Programme for Europe		Environmental_Programme_for_Europe\N46
##	TAG	</name>
---	DLE	(		=\DELIM
##	TAG	<name>
192	TOK	EPE		EPE\N46
##	TAG	</name>
---	DLE	)		=\DELIM
193	TOK	could		can\VOFDA66
194	TOK	be		be\VMI----
195	TOK	assessed		assess\VMC----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
196	TOK	They	BOS	they\RPP3NN
197	TOK	asked		ask\VMF6A66
198	TOK	the		the\AT---6
##	TAG	<name pos="N46" expansion="european environment agency" type="organization">
199	TOK	EEA		EEA\N46
##	TAG	</name>
200	TOK	to		to\P
201	TOK	produce		produce\VMI----
202	TOK	a		a\AI---S
203	TOK	second		second\MOS
204	TOK	assessment		assessment\N5S
205	TOK	in		in\P
206	TOK	time		time\N5S
207	TOK	for		for\P
208	TOK	their		their\APP3N6
209	TOK	next		next\JA
210	TOK	planned		plan\VMC----
211	TOK	meeting		meeting\N5S
212	TOK	in		in\P
##	TAG	<name>
213	TOK	Denmark		Denmark\N46
##	TAG	</name>
214	TOK	in		in\P
##	TAG	<num>
215	TOK	1998		1998\X
##	TAG	</num>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
##	TAG	<name>
216	TOK	Europe	BOS	Europe\N46
##	TAG	</name>
217	TOK	s		s\N5S
##	TAG	<name>
218	TOK	Environment		Environment\N46
##	TAG	</name>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
220	TOK	The	BOS	the\AT---6
##	TAG	<name>
221	TOK	Second Assessment		Second_Assessment\N46
##	TAG	</name>
222	TOK	is		be\V6FDRS3
223	TOK	the		the\AT---6
##	TAG	<name>
224	TOK	Agency		Agency\N46
##	TAG	</name>
225	TOK	s		s\N5S
226	TOK	response		response\N5S
227	TOK	to		to\P
228	TOK	this		this\AD---S
229	TOK	request		request\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
230	TOK	The	BOS	the\AT---6
