##	TAG	<div1>
##	TAG	<head>
1	TOK	Sharp	BOS	sharp\JA
2	TOK	disparities		disparity\N5P
3	TOK	in		in\P
4	TOK	the		the\AT---6
5	TOK	speed		speed\N5S
6	TOK	of		of\P
7	TOK	global		global\JA
8	TOK	integration	EOS	integration\N5S
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
10	TOK	The	BOS	the\AT---6
11	TOK	pace		pace\N5S
12	TOK	of		of\P
13	TOK	global		global\JA
14	TOK	economic		economic\JA
15	TOK	integration		integration\N5S
---	DLE	-		=\DELIM
---	DLE	-		=\DELIM
---	DLE	-		=\DELIM
16	TOK	the		the\AT---6
17	TOK	widening		widen\VMG----
18	TOK	and		and\CC
19	TOK	intensifying		intensify\VMG----
20	TOK	of		of\P
21	TOK	international		international\JA
22	TOK	linkages		linkage\N5P
23	TOK	in		in\P
24	TOK	trade		trade\VMI----
25	TOK	and		and\CC
26	TOK	finance		finance\VMI----
---	DLD	-		=\DELIM
---	DLD	-		=\DELIM
---	DLD	-		=\DELIM
27	TOK	has		have\V6FDRS3
28	TOK	accelerated		accelerate\VMC----
29	TOK	over		over\P
30	TOK	the		the\AT---6
31	TOK	past		past\JA
32	TOK	decade		decade\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
33	TOK	During	BOS	during\P
##	TAG	<na type="function">
34	TOK	1985 - 94		noanat\W
##	TAG	</na>
35	TOK	the		the\AT---6
36	TOK	ratio		ratio\N5S
37	TOK	of		of\P
38	TOK	world		world\N5S
39	TOK	trade		trade\N5S
40	TOK	to		to\P
##	TAG	<name>
41	TOK	GDP		GDP\N46
##	TAG	</name>
42	TOK	rose		rise\VMF6A66
##	TAG	<num>
43	TOK	three		three\X
##	TAG	</num>
44	TOK	times		time\N5P
45	TOK	faster		fast\JC
46	TOK	than		than\CS
47	TOK	in		in\P
48	TOK	the		the\AT---6
49	TOK	preceding		precede\VMG----
##	TAG	<num>
50	TOK	ten		ten\X
##	TAG	</num>
51	TOK	years		year\N5P
52	TOK	and		and\CC
53	TOK	nearly		nearly\DGA7
54	TOK	twice		twice\DGA7
55	TOK	as		as\CS
56	TOK	fast		fast\JA
57	TOK	as		as\CS
58	TOK	in		in\P
59	TOK	the		the\AT---6
##	TAG	<na type="code">
60	TOK	1960s		noanat\W
##	TAG	</na>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
61	TOK	Over	BOS	over\P
62	TOK	the		the\AT---6
63	TOK	same		same\JA
64	TOK	period		period\N5S
65	TOK	foreign		foreign\JA
66	TOK	direct		direct\JA
67	TOK	investment		investment\N5S
68	TOK	doubled		double\VMC----
69	TOK	as		as\P
70	TOK	a		a\AI---S
71	TOK	share		share\N5S
72	TOK	of		of\P
73	TOK	global		global\JA
##	TAG	<name>
74	TOK	GDP		GDP\N46
##	TAG	</name>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
75	TOK	Developing	BOS	developing\JA
76	TOK	countries		country\N5P
77	TOK	too		too\DGA7
78	TOK	have		have\V6F6R66
79	TOK	been		be\VMC----
80	TOK	part		part\N5S
81	TOK	of		of\P
82	TOK	this		this\AD---S
83	TOK	trend		trend\N5S
84	TOK	of		of\P
85	TOK	growing		growing\JA
86	TOK	integration		integration\N5S
87	TOK	in		in\P
88	TOK	aggregate		aggregate\VMI----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
89	TOK	Overall	BOS	overall\JA
---	DLD	,		=\DELIM
90	TOK	their		their\APP3N6
91	TOK	trade		trade\N5S
92	TOK	to		to\P
##	TAG	<name>
93	TOK	GDP		GDP\N46
##	TAG	</name>
94	TOK	ratio		ratio\N5S
95	TOK	rose		rise\VMF6A66
96	TOK	as		as\CS
97	TOK	fast		fast\JA
98	TOK	as		as\CS
99	TOK	that		that\RDS3N-
100	TOK	of		of\P
101	TOK	industrial		industrial\JA
102	TOK	countries		country\N5P
103	TOK	and		and\CC
104	TOK	their		their\APP3N6
105	TOK	share		share\N5S
106	TOK	of		of\P
107	TOK	global		global\JA
108	TOK	foreign		foreign\JA
109	TOK	direct		direct\JA
110	TOK	investment		investment\N5S
111	TOK	rose		rise\VMF6A66
112	TOK	to		to\P
##	TAG	<num>
113	TOK	two		two\X
##	TAG	</num>
114	TOK	fifths		fifth\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
115	TOK	But	BOS	but\CC
116	TOK	there		there\DGA7
117	TOK	are		be\V6FDR66
118	TOK	wide		wide\JA
119	TOK	disparities		disparity\N5P
120	TOK	in		in\P
121	TOK	both		both\RIP3N-
122	TOK	rates		rate\N5P
123	TOK	of		of\P
124	TOK	growth		growth\N5S
125	TOK	and		and\CC
126	TOK	integration		integration\N5S
127	TOK	across		across\P
128	TOK	developing		developing\JA
129	TOK	countries		country\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
130	TOK	Some	BOS	some\DGA7
131	TOK	have		have\V6F6R66
132	TOK	even		even\DGA7
133	TOK	become		become\VMC----
134	TOK	less		less\DDC7
135	TOK	integrated		integrate\VMC----
136	TOK	with		with\P
137	TOK	the		the\AT---6
138	TOK	global		global\JA
139	TOK	economy		economy\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
140	TOK	Integration	BOS	integration\N5S
141	TOK	matters		matter\N5P
142	TOK	because		because\CS
143	TOK	there		there\DGA7
144	TOK	is		be\V6FDRS3
145	TOK	an		an\AI---S
146	TOK	association		association\N5S
147	TOK	between		between\P
148	TOK	growth		growth\N5S
149	TOK	performance		performance\N5S
150	TOK	and		and\CC
151	TOK	integration		integration\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
