##	TAG	<div1>
##	TAG	<head>
1	TOK	Overview	BOS	overview\N5S
tf	TOK		EOS	=\DELS
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
##	TAG	<name>
3	TOK	Duong	BOS	Duong\N46
##	TAG	</name>
4	TOK	is		be\V6FDRS3
5	TOK	a		a\AI---S
##	TAG	<loc pos="JA">
6	TOK	Vietnamese		vietnamese\JA
##	TAG	</loc>
7	TOK	peasant		peasant\N5S
8	TOK	farmer		farmer\N5S
9	TOK	who		who\RW63N-
10	TOK	struggles		struggle\VMFDRS3
11	TOK	to		to\P
12	TOK	feed		feed\VMI----
13	TOK	his		his\APS3M6
14	TOK	family		family\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
15	TOK	He	BOS	he\RPS3MN
16	TOK	earns		earn\VMFDRS3
17	TOK	the		the\AT---6
18	TOK	equivalent		equivalent\JA
19	TOK	of		of\P
20	TOK	$		$\N5P
##	TAG	<num>
21	TOK	10		10\X
##	TAG	</num>
22	TOK	a		a\AI---S
23	TOK	week		week\N5S
24	TOK	for		for\P
##	TAG	<num>
25	TOK	thirty-eight		thirty-eight\X
##	TAG	</num>
26	TOK	hours		hour\N5P
27	TOK	of		of\P
28	TOK	work		work\N5S
29	TOK	in		in\P
30	TOK	the		the\AT---6
31	TOK	rice		rice\N5S
32	TOK	fields		field\N5P
---	DLD	,		=\DELIM
33	TOK	but		but\CC
34	TOK	he		he\RPS3MN
35	TOK	works		work\VMFDRS3
36	TOK	full		full\JA
---	DLI	-		=\DELIM
37	TOK	time		time\N5S
38	TOK	only		only\DGA7
##	TAG	<num>
39	TOK	six		six\X
##	TAG	</num>
40	TOK	months		month\N5P
41	TOK	of		of\P
42	TOK	the		the\AT---6
43	TOK	year		year\N5S
---	DLI	-		=\DELIM
44	TOK	during		during\P
45	TOK	the		the\AT---6
46	TOK	off		off\DGA7
---	DLI	-		=\DELIM
47	TOK	season		season\N5S
48	TOK	he		he\RPS3MN
49	TOK	can		can\VOFDR66
50	TOK	earn		earn\VMI----
51	TOK	very		very\JA
52	TOK	little		little\JA
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
53	TOK	His	BOS	his\APS3M6
54	TOK	wife		wife\N5S
55	TOK	and		and\CC
##	TAG	<num>
56	TOK	four		four\X
##	TAG	</num>
57	TOK	children		child\N5P
58	TOK	work		work\VMF6R66
59	TOK	with		with\P
60	TOK	him		him\RPS3MA
61	TOK	in		in\P
62	TOK	the		the\AT---6
63	TOK	fields		field\N5P
---	DLD	,		=\DELIM
64	TOK	but		but\CC
65	TOK	the		the\AT---6
66	TOK	family		family\N5S
67	TOK	can		can\VOFDR66
68	TOK	afford		afford\VMI----
69	TOK	to		to\P
70	TOK	send		send\VMI----
71	TOK	only		only\DGA7
72	TOK	the		the\AT---6
##	TAG	<num>
73	TOK	two		two\X
##	TAG	</num>
74	TOK	youngest		young\JS
75	TOK	to		to\P
76	TOK	school		school\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
##	TAG	<name>
77	TOK	Duong	BOS	Duong\N46
##	TAG	</name>
78	PGR	's		genmark\GENMARK
79	TOK	eleven		eleven\MCP
---	DLI	-		=\DELIM
80	TOK	year		year\N5S
---	DLI	-		=\DELIM
81	TOK	old		old\JA
82	TOK	daughter		daughter\N5S
83	TOK	stays		stay\VMFDRS3
84	TOK	at		at\P
85	TOK	home		home\N5S
86	TOK	to		to\P
87	TOK	help		help\VMI----
88	TOK	with		with\P
89	TOK	housework		housework\N5S
---	DLD	,		=\DELIM
90	TOK	while		while\CS
91	TOK	his		his\APS3M6
92	TOK	thirteen		thirteen\MCP
---	DLI	-		=\DELIM
93	TOK	year		year\N5S
---	DLI	-		=\DELIM
94	TOK	old		old\JA
95	TOK	son		son\N5S
96	TOK	works		work\VMFDRS3
97	TOK	as		as\CS
98	TOK	a		a\AI---S
99	TOK	street		street\N5S
100	TOK	trader		trader\N5S
101	TOK	in		in\P
102	TOK	town		town\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
103	TOK	By	BOS	by\P
104	TOK	any		any\AG---6
105	TOK	standard		standard\JA
##	TAG	<name>
106	TOK	Duong		Duong\N46
##	TAG	</name>
107	PGR	's		genmark\GENMARK
108	TOK	family		family\N5S
109	TOK	is		be\V6FDRS3
110	TOK	living		living\JA
111	TOK	in		in\P
112	TOK	poverty		poverty\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
113	TOK	Workers	BOS	worker\N5P
114	TOK	like		like\P
##	TAG	<name>
115	TOK	Duong		Duong\N46
##	TAG	</name>
---	DLE	,		=\DELIM
116	TOK	laboring		labor\VMG----
117	TOK	on		on\P
118	TOK	family		family\N5S
119	TOK	farms		farm\N5P
120	TOK	in		in\P
121	TOK	low		low\JA
---	DLD	-		=\DELIM
122	TOK	and		and\CC
123	TOK	middle		middle\N5S
---	DLI	-		=\DELIM
124	TOK	income		income\N5S
125	TOK	countries		country\N5P
---	DLD	,		=\DELIM
126	TOK	account		account\N5S
127	TOK	for		for\P
128	TOK	about		about\DGA7
##	TAG	<num>
129	TOK	40		40\X
##	TAG	</num>
130	TOK	percent		percent\N56
131	TOK	of		of\P
132	TOK	the		the\AT---6
133	TOK	world		world\N5S
134	PGR	's		genmark\GENMARK
135	TOK	labor		labor\N5S
136	TOK	force		force\VMF6R66
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
##	TAG	<name>
137	TOK	Hoa	BOS	Hoa\N46
##	TAG	</name>
138	TOK	is		be\V6FDRS3
139	TOK	a		a\AI---S
140	TOK	young		young\JA
##	TAG	<loc pos="JA">
141	TOK	Vietnamese		vietnamese\JA
##	TAG	</loc>
142	TOK	city		city\N5S
143	TOK	dweller		dweller\N5S
144	TOK	experiencing		experience\VMG----
145	TOK	relative		relative\JA
146	TOK	affluence		affluence\N5S
147	TOK	for		for\P
148	TOK	the		the\AT---6
149	TOK	first		first\MOS
150	TOK	time		time\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
151	TOK	In	BOS	in\P
##	TAG	<name>
152	TOK	Ho Chi Minh City		Ho_Chi_Minh_City\N46
##	TAG	</name>
153	TOK	she		she\RPS3FN
154	TOK	earns		earn\VMFDRS3
155	TOK	the		the\AT---6
156	TOK	equivalent		equivalent\JA
157	TOK	of		of\P
158	TOK	$		$\N5P
##	TAG	<num>
159	TOK	30		30\X
##	TAG	</num>
160	TOK	a		a\AI---S
161	TOK	week		week\N5S
162	TOK	working		work\VMG----
##	TAG	<num>
163	TOK	forty-eight		forty-eight\X
##	TAG	</num>
164	TOK	hours		hour\N5P
165	TOK	in		in\P
166	TOK	a		a\AI---S
167	TOK	garment		garment\N5S
168	TOK	factory		factory\N5S
---	DLI	-		=\DELIM
169	TOK	a		a\AI---S
170	TOK	joint		joint\N5S
171	TOK	venture		venture\N5S
172	TOK	with		with\P
173	TOK	a		a\AI---S
##	TAG	<loc pos="JA">
174	TOK	French		french\JA
##	TAG	</loc>
175	TOK	firm		firm\JA
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
176	TOK	She	BOS	she\RPS3FN
177	TOK	works		work\N5P
178	TOK	hard		hard\DGA7
179	TOK	for		for\P
180	TOK	her		her\APS3F6
181	TOK	living		living\N5S
182	TOK	and		and\CC
183	TOK	spends		spend\VMFDRS3
184	TOK	many		many\AI---P
185	TOK	hours		hour\N5P
186	TOK	looking		look\VMG----
187	TOK	after		after\CS
188	TOK	her		her\APS3F6
##	TAG	<num>
189	TOK	three		three\X
##	TAG	</num>
190	TOK	children		child\N5P
191	TOK	as		as\P
192	TOK	well		well\DGA7
---	DLD	;		=\DELIM
193	TOK	her		her\APS3F6
194	TOK	husband		husband\N5S
195	TOK	works		work\VMFDRS3
196	TOK	as		as\CS
197	TOK	a		a\AI---S
198	TOK	janitor		janitor\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
199	TOK	But	BOS	but\CC
##	TAG	<name>
200	TOK	Hoa		Hoa\N46
##	TAG	</name>
201	PGR	's		genmark\GENMARK
202	TOK	family		family\N5S
203	TOK	has		have\V6FDRS3
204	TOK	several		several\JA
205	TOK	times		time\N5P
206	TOK	the		the\AT---6
207	TOK	standard		standard\N5S
208	TOK	of		of\P
209	TOK	living		live\VMG----
210	TOK	of		of\P
##	TAG	<name>
211	TOK	Duong		Duong\N46
##	TAG	</name>
212	PGR	's		genmark\GENMARK
213	TOK	and		and\CC
---	DLD	,		=\DELIM
214	TOK	by		by\P
##	TAG	<loc pos="JA">
215	TOK	Vietnamese		vietnamese\JA
##	TAG	</loc>
216	TOK	standards		standard\N5P
---	DLD	,		=\DELIM
217	TOK	is		be\V6FDRS3
218	TOK	relatively		relatively\DGA7
219	TOK	well		well\DGA7
---	DLI	-		=\DELIM
220	TOK	off		off\P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
221	TOK	There	BOS	there\DGA7
222	TOK	is		be\V6FDRS3
223	TOK	every		every\AG---S
224	TOK	expectation		expectation\N5S
225	TOK	that		that\CS
226	TOK	both		both\RIP3N-
227	TOK	she		she\RPS3FN
228	TOK	and		and\CC
229	TOK	her		her\APS3F6
230	TOK	children		child\N5P
231	TOK	will		will\VOFDR66
232	TOK	continue		continue\VMI----
233	TOK	to		to\P
234	TOK	have		have\VMI----
235	TOK	a		a\AI---S
236	TOK	vastly		vastly\DGA7
237	TOK	better		good\JC
238	TOK	standard		standard\N5S
239	TOK	of		of\P
240	TOK	living		live\VMG----
241	TOK	than		than\CS
242	TOK	her		her\APS3F6
243	TOK	parents		parent\N5P
244	TOK	had		have\V6F6A66
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
245	TOK	Wage	BOS	wage\N5S
246	TOK	employees		employee\N5P
247	TOK	like		like\P
##	TAG	<name>
248	TOK	Hoa		Hoa\N46
##	TAG	</name>
---	DLE	,		=\DELIM
249	TOK	working		working\JA
250	TOK	in		in\P
251	TOK	the		the\AT---6
252	TOK	formal		formal\JA
253	TOK	sector		sector\N5S
254	TOK	in		in\P
255	TOK	low		low\JA
---	DLD	-		=\DELIM
256	TOK	and		and\CC
257	TOK	middle		middle\N5S
---	DLI	-		=\DELIM
258	TOK	income		income\N5S
