##	TAG	<div1>
##	TAG	<head>
1	TOK	INTRODUCTION	BOS	introduction\N5S
tf	TOK		EOS	=\DELS
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
3	TOK	Most	BOS	most\AG---6
4	TOK	economic		economic\JA
5	TOK	growth		growth\N5S
6	TOK	models		model\N5P
7	TOK	discussed		discuss\VMC----
8	TOK	in		in\P
9	TOK	the		the\AT---6
10	TOK	literature		literature\N5S
11	TOK	have		have\V6F6R66
12	TOK	a		a\AI---S
13	TOK	simple		simple\JA
14	TOK	general		general\JA
15	TOK	equilibrium		equilibrium\N5S
16	TOK	structure		structure\VMF6R66
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
17	TOK	First	BOS	first\MOS
---	DLD	,		=\DELIM
18	TOK	there		there\DGA7
19	TOK	are		be\V6FDR66
20	TOK	households		household\N5P
21	TOK	who		who\RW63N-
22	TOK	own		own\VMF6R66
23	TOK	the		the\AT---6
24	TOK	assets		asset\N5P
25	TOK	and		and\CC
26	TOK	inputs		input\N5P
27	TOK	in		in\P
28	TOK	the		the\AT---6
29	TOK	economy		economy\N5S
30	TOK	and		and\CC
31	TOK	choose		choose\VMF6R66
32	TOK	the		the\AT---6
33	TOK	fraction		fraction\N5S
34	TOK	of		of\P
35	TOK	income		income\N5S
36	TOK	they		they\RPP3NN
37	TOK	will		will\VOFDR66
38	TOK	consume		consume\VMI----
39	TOK	and		and\CC
40	TOK	the		the\AT---6
41	TOK	fraction		fraction\N5S
42	TOK	they		they\RPP3NN
43	TOK	will		will\VOFDR66
44	TOK	save		save\VMI----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
45	TOK	Second	BOS	second\MOS
---	DLD	,		=\DELIM
46	TOK	there		there\DGA7
47	TOK	are		be\V6FDR66
48	TOK	firms		firm\N5P
49	TOK	who		who\RW63N-
50	TOK	hire		hire\VMF6R66
51	TOK	the		the\AT---6
52	TOK	different		different\JA
53	TOK	inputs		input\N5P
##	TAG	<loc pos="P">
54	TOK	in order to		in_order_to\P
##	TAG	</loc>
55	TOK	produce		produce\VMI----
56	TOK	the		the\AT---6
57	TOK	final		final\JA
58	TOK	output		output\N5S
59	TOK	they		they\RPP3NN
60	TOK	sell		sell\VMF6R66
61	TOK	to		to\P
62	TOK	consumers		consumer\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
63	TOK	And	BOS	and\CC
64	TOK	finally		finally\DGA7
---	DLD	,		=\DELIM
65	TOK	there		there\DGA7
66	TOK	are		be\V6FDR66
67	TOK	markets		market\N5P
68	TOK	where		where\CS
69	TOK	households		household\N5P
70	TOK	sell		sell\VMF6R66
71	TOK	their		their\APP3N6
72	TOK	inputs		input\N5P
73	TOK	to		to\P
74	TOK	firms		firm\N5P
75	TOK	and		and\CC
76	TOK	where		where\CS
77	TOK	firms		firm\N5P
78	TOK	sell		sell\VMF6R66
79	TOK	their		their\APP3N6
80	TOK	output		output\N5S
81	TOK	to		to\P
82	TOK	households		household\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
83	TOK	In	BOS	in\P
84	TOK	the		the\AT---6
85	TOK	initial		initial\JA
86	TOK	section		section\N5S
87	TOK	of		of\P
88	TOK	these		this\AD---P
89	TOK	notes		note\N5P
---	DLD	,		=\DELIM
90	TOK	however		however\DGA7
---	DLD	,		=\DELIM
91	TOK	we		we\RPP1NN
92	TOK	will		will\VOFDR66
93	TOK	use		use\VMI----
94	TOK	a		a\AI---S
95	TOK	setup		setup\N5S
96	TOK	with		with\P
97	TOK	no		no\AI---6
98	TOK	markets		market\N5P
99	TOK	or		or\CC
100	TOK	firms		firm\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
101	TOK	We	BOS	we\RPP1NN
102	TOK	will		will\VOFDR66
103	TOK	think		think\VMI----
104	TOK	of		of\P
105	TOK	household		household\N5S
---	DLI	-		=\DELIM
106	TOK	producers		producer\N5P
107	TOK	who		who\RW63N-
108	TOK	own		own\VMF6R66
109	TOK	the		the\AT---6
110	TOK	inputs		input\N5P
111	TOK	and		and\CC
112	TOK	the		the\AT---6
113	TOK	technology		technology\N5S
114	TOK	which		which\RW63N-
115	TOK	transforms		transform\VMFDRS3
116	TOK	them		them\RPP3NA
117	TOK	into		into\P
118	TOK	output		output\VMF6A66
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
119	TOK	These	BOS	this\AD---P
120	TOK	household		household\N5S
---	DLI	-		=\DELIM
121	TOK	producers		producer\N5P
122	TOK	then		then\DGA7
123	TOK	choose		choose\VMF6R66
124	TOK	how		how\DGAW
125	TOK	much		much\DGA7
126	TOK	of		of\P
127	TOK	the		the\AT---6
128	TOK	output		output\N5S
129	TOK	to		to\P
130	TOK	consume		consume\VMI----
131	TOK	and		and\CC
132	TOK	how		how\DGAW
133	TOK	much		much\DGA7
134	TOK	to		to\P
135	TOK	save		save\VMI----
136	TOK	and		and\CC
137	TOK	invest		invest\VMI----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
138	TOK	This	BOS	this\AD---S
139	TOK	setup		setup\N5S
140	TOK	is		be\V6FDRS3
141	TOK	often		often\DGA7
142	TOK	known		know\VMC----
143	TOK	as		as\P
144	TOK	a		a\AI---S
##	TAG	<name>
145	TOK	Robinson Crusoe Economy		Robinson_Crusoe_Economy\N46
##	TAG	</name>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
146	TOK	The	BOS	the\AT---6
147	TOK	only		only\JA
148	TOK	asset		asset\N5S
149	TOK	in		in\P
150	TOK	this		this\AD---S
---	DLE	(		=\DELIM
151	TOK	closed		close\VMF6A66
---	DLD	)		=\DELIM
152	TOK	economy		economy\N5S
153	TOK	is		be\V6FDRS3
154	TOK	something		something\RIS3N-
155	TOK	we		we\RPP1NN
156	TOK	call		call\VMF6R66
##	TAG	<name>
157	TOK	Kt		Kt\N46
##	TAG	</name>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
158	TOK	One	BOS	one\RIS3N-
159	TOK	may		may\VOFDR66
160	TOK	wish		wish\VMI----
161	TOK	to		to\P
162	TOK	think		think\VMI----
163	TOK	of		of\P
164	TOK	K		K\N5P
165	TOK	as		as\P
166	TOK	physical		physical\JA
167	TOK	capital		capital\N5S
168	TOK	but		but\CC
169	TOK	it		it\RPS3N6
170	TOK	may		may\VOFDR66
171	TOK	also		also\DGA7
172	TOK	include		include\VMI----
173	TOK	other		other\JA
174	TOK	inputs		input\N5P
175	TOK	that		that\RW63N6
176	TOK	can		can\VOFDR66
177	TOK	be		be\VMI----
178	TOK	accumulated		accumulate\VMC----
---	DLE	,		=\DELIM
179	TOK	such		such\JA
180	TOK	as		as\P
181	TOK	knowledge		knowledge\N5S
182	TOK	or		or\CC
183	TOK	skills		skill\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
184	TOK	The	BOS	the\AT---6
185	TOK	other		other\JA
186	TOK	input		input\N5S
187	TOK	in		in\P
188	TOK	the		the\AT---6
189	TOK	economy		economy\N5S
---	DLD	,		=\DELIM
##	TAG	<name>
190	TOK	Lt		Lt\N46
##	TAG	</name>
---	DLE	,		=\DELIM
191	TOK	can		can\V6FDR66
192	PGR	not		not\DGA7
193	TOK	be		be\VMI----
194	TOK	accumulated		accumulate\VMC----
195	TOK	in		in\P
196	TOK	that		that\CS
197	TOK	it		it\RPS3N6
198	TOK	is		be\V6FDRS3
199	TOK	assumed		assume\VMC----
200	TOK	to		to\P
201	TOK	grow		grow\VMI----
202	TOK	at		at\P
203	TOK	a		a\AI---S
204	TOK	rate		rate\N5S
205	TOK	which		which\RW63N-
206	TOK	is		be\V6FDRS3
207	TOK	independent		independent\JA
208	TOK	of		of\P
209	TOK	individual		individual\JA
210	TOK	choices		choice\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
211	TOK	We	BOS	we\RPP1NN
212	TOK	may		may\VOFDR66
213	TOK	want		want\VMI----
214	TOK	to		to\P
215	TOK	think		think\VMI----
216	TOK	of		of\P
217	TOK	L		L\N5P
218	TOK	as		as\P
219	TOK	labor		labor\N5S
220	TOK	but		but\CC
221	TOK	it		it\RPS3N6
222	TOK	may		may\VOFDR66
223	TOK	also		also\DGA7
224	TOK	include		include\VMI----
225	TOK	other		other\JA
226	TOK	non		non\N5P
---	DLI	-		=\DELIM
227	TOK	reproducible		reproducible\JA
228	TOK	resources		resource\N5P
229	TOK	such		such\RIS3N-
230	TOK	as		as\P
231	TOK	land		land\N5S
232	TOK	or		or\CC
233	TOK	energy		energy\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
234	TOK	We	BOS	we\RPP1NN
235	TOK	assume		assume\VMF6R66
236	TOK	that		that\CS
237	TOK	the		the\AT---6
238	TOK	technology		technology\N5S
239	TOK	available		available\JA
240	TOK	transforms		transform\N5P
241	TOK	combinations		combination\N5P
242	TOK	of		of\P
243	TOK	these		this\AD---P
##	TAG	<num>
244	TOK	two		two\X
##	TAG	</num>
245	TOK	inputs		input\N5P
246	TOK	into		into\P
247	TOK	output		output\N5S
##	TAG	<loc pos="P">
248	TOK	according to		according_to\P
##	TAG	</loc>
249	TOK	the		the\AT---6
250	TOK	following		following\JA
251	TOK	function		function\VMF6R66
---	DLD	:		=\DELIM
252	TOK	xxx		noanat\W
253	TOK	where		where\CS
##	TAG	<name>
254	TOK	Yt		Yt\N46
##	TAG	</name>
255	TOK	stands		stand\VMFDRS3
256	TOK	for		for\P
257	TOK	aggregate		aggregate\N5S
258	TOK	output		output\VMF6A66
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
259	TOK	To	BOS	to\P
260	TOK	simplify		simplify\VMI----
261	TOK	matters		matter\N5P
262	TOK	we		we\RPP1NN
263	TOK	assume		assume\VMF6R66
264	TOK	that		that\CS
265	TOK	output		output\N5S
266	TOK	is		be\V6FDRS3
267	TOK	a		a\AI---S
268	TOK	homogeneous		homogeneous\JA
269	TOK	good		good\JA
270	TOK	which		which\RW63N-
271	TOK	can		can\VOFDR66
272	TOK	be		be\VMI----
273	TOK	either		either\RIP3N-
274	TOK	consumed		consume\VMF6A66
275	TOK	or		or\CC
