##	TAG	<div1>
##	TAG	<head>
1	TOK	Introduction	BOS	introduction\N5S
2	TOK	and		and\CC
##	TAG	<name>
3	TOK	Background	EOS	Background\N46
##	TAG	</name>
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
5	TOK	The	BOS	the\AT---6
##	TAG	<name>
6	TOK	Internet		Internet\N46
##	TAG	</name>
7	TOK	has		have\V6FDRS3
8	TOK	seen		see\VMC----
9	TOK	nothing		nothing\RIS3N-
10	TOK	like		like\P
##	TAG	<name>
11	TOK	Mosaic		Mosaic\N46
##	TAG	</name>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
12	TOK	The	BOS	the\AT---6
13	TOK	hot		hot\JA
14	TOK	new		new\JA
15	TOK	program		program\N5S
16	TOK	has		have\V6FDRS3
17	TOK	taken		take\VMC----
18	TOK	the		the\AT---6
19	TOK	network		network\N5S
20	TOK	scene		scene\N5S
21	TOK	by		by\P
22	TOK	storm		storm\VMI----
---	DLD	,		=\DELIM
23	TOK	seizing		seize\VMG----
24	TOK	the		the\AT---6
25	TOK	attention		attention\N5S
26	TOK	of		of\P
27	TOK	users		user\N5P
28	TOK	worldwide		worldwide\DGA7
29	TOK	with		with\P
30	TOK	its		its\APS3N6
31	TOK	enticing		entice\VMG----
32	TOK	interface		interface\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
##	TAG	<loc pos="DGA7">
33	TOK	No longer	BOS	No_longer\DGA7
##	TAG	</loc>
34	TOK	limited		limit\VMC----
35	TOK	to		to\P
36	TOK	straight		straight\JA
37	TOK	text		text\N5S
---	DLD	,		=\DELIM
##	TAG	<name>
38	TOK	Mosaic		Mosaic\N46
##	TAG	</name>
39	TOK	devotees		devotee\N5P
40	TOK	travel		travel\VMI----
41	TOK	an		an\AI---S
##	TAG	<name>
42	TOK	Internet		Internet\N46
##	TAG	</name>
43	TOK	stuffed		stuff\VMC----
44	TOK	with		with\P
45	TOK	photographs		photograph\N5P
---	DLD	,		=\DELIM
46	TOK	colorful		colorful\JA
47	TOK	graphics		graphic\N56
---	DLD	,		=\DELIM
48	TOK	sound		sound\JA
49	TOK	clips		clip\N5P
---	DLD	,		=\DELIM
50	TOK	and		and\CC
51	TOK	even		even\DGA7
52	TOK	movies		movie\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
53	TOK	What	BOS	what\RW63N-
54	PGR	's		be\V6FDRS3
55	TOK	more		more\DDC7
---	DLD	,		=\DELIM
##	TAG	<name>
56	TOK	Mosaic		Mosaic\N46
##	TAG	</name>
57	PGR	's		genmark\GENMARK
58	TOK	formatting		format\VMG----
59	TOK	features		feature\N5P
60	TOK	allow		allow\VMF6R66
61	TOK	an		an\AI---S
62	TOK	electronic		electronic\JA
63	TOK	screen		screen\N5S
64	TOK	to		to\P
65	TOK	be		be\VMI----
66	TOK	manipulated		manipulate\VMC----
##	TAG	<loc pos="CS">
67	TOK	as if		as_if\CS
##	TAG	</loc>
68	TOK	it		it\RPS3N6
69	TOK	were		be\V6F-A66
70	TOK	a		a\AI---S
71	TOK	printed		print\VMC----
72	TOK	page		page\N5S
---	DLD	,		=\DELIM
73	TOK	while		while\CS
74	TOK	providing		provide\VMG----
75	TOK	access		access\N5S
76	TOK	to		to\P
77	TOK	old		old\JA
##	TAG	<name>
78	TOK	Internet		Internet\N46
##	TAG	</name>
79	TOK	standbys		standby\N5P
80	TOK	like		like\P
##	TAG	<name>
81	TOK	Gopher		Gopher\N46
##	TAG	</name>
---	DLE	,		=\DELIM
##	TAG	<name pos="N46" expansion="file transfer protocol">
82	TOK	FTP		FTP\N46
##	TAG	</name>
---	DLE	,		=\DELIM
83	TOK	and		and\CC
##	TAG	<name>
84	TOK	Telnet		Telnet\N46
##	TAG	</name>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
85	TOK	If	BOS	if\CS
86	TOK	there		there\DGA7
87	TOK	is		be\V6FDRS3
88	TOK	an		an\AI---S
89	TOK	all		all\N56
---	DLI	-		=\DELIM
90	TOK	purpose		purpose\N5S
##	TAG	<name>
91	TOK	Internet		Internet\N46
##	TAG	</name>
92	TOK	program		program\VMF6R66
---	DLD	,		=\DELIM
##	TAG	<name>
93	TOK	Mosaic		Mosaic\N46
##	TAG	</name>
94	TOK	is		be\V6FDRS3
95	TOK	it		it\RPS3N6
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
96	TOK	What	BOS	what\RW63N-
97	TOK	makes		make\VMFDRS3
98	TOK	this		this\AD---S
99	TOK	program		program\N5S
100	TOK	special		special\JA
101	TOK	is		be\V6FDRS3
102	TOK	good		good\JA
103	TOK	engineering		engineer\VMG----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
104	TOK	Mosaic	BOS	mosaic\N5S
105	TOK	takes		take\VMFDRS3
106	TOK	a		a\AI---S
107	TOK	problem		problem\N5S
---	DLI	-		=\DELIM
108	TOK	the		the\AT---6
109	TOK	fact		fact\N5S
110	TOK	that		that\CS
111	TOK	millions		million\N5P
112	TOK	of		of\P
113	TOK	new		new\JA
114	TOK	users		user\N5P
115	TOK	are		be\V6FDR66
116	TOK	coming		come\VMG----
117	TOK	onto		onto\P
118	TOK	the		the\AT---6
##	TAG	<name>
119	TOK	Internet		Internet\N46
##	TAG	</name>
---	DLE	,		=\DELIM
120	TOK	only		only\DGA7
121	TOK	to		to\P
122	TOK	find		find\VMI----
123	TOK	it		it\RPS3N6
124	TOK	formidable		formidable\JA
125	TOK	and		and\CC
126	TOK	hard		hard\JA
127	TOK	to		to\P
128	TOK	use		use\VMI----
---	DLI	-		=\DELIM
129	TOK	and		and\CC
130	TOK	solves		solve\VMFDRS3
131	TOK	it		it\RPS3N6
132	TOK	brilliantly		brilliantly\DGA7
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
133	TOK	Science	BOS	science\N5S
134	TOK	fiction		fiction\N5S
135	TOK	writer		writer\N5S
##	TAG	<name>
136	TOK	Robert Heinlein		Robert_Heinlein\N46
##	TAG	</name>
137	TOK	once		once\DGA7
138	TOK	said		say\VMF6A66
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
---	DLE	"	BOS	=\DELIM
139	TOK	Never		never\DGA7
140	TOK	worry		worry\VMF6R66
141	TOK	about		about\P
142	TOK	theory		theory\N5S
143	TOK	as		as\CS
144	TOK	long		long\JA
145	TOK	as		as\P
146	TOK	the		the\AT---6
147	TOK	machinery		machinery\N5S
148	TOK	does		do\V6FDRS3
149	TOK	what		what\RW63N-
150	TOK	it		it\RPS3N6
151	PGR	's		be\V6FDRS3
152	TOK	supposed		suppose\VMC----
153	TOK	to		to\P
154	TOK	do		do\VMI----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
---	DLE	"	BOS	=\DELIM
155	TOK	The		the\AT---6
156	TOK	great		great\JA
157	TOK	majority		majority\N5S
158	TOK	of		of\P
159	TOK	new		new\JA
##	TAG	<name>
160	TOK	Internet		Internet\N46
##	TAG	</name>
161	TOK	users		user\N5P
162	TOK	aren		be\V6FDR66
163	PGR	't		not\DGA7
164	TOK	computer		computer\N5S
165	TOK	scientists		scientist\N5P
166	TOK	or		or\CC
167	TOK	programmers		programmer\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
168	TOK	They	BOS	they\RPP3NN
169	TOK	have		have\V6F6R66
170	TOK	little		little\JA
171	TOK	patience		patience\N5S
172	TOK	with		with\P
173	TOK	a		a\AI---S
174	TOK	computer		computer\N5S
175	TOK	system		system\N5S
176	TOK	that		that\RW63N6
177	TOK	requires		require\VMFDRS3
178	TOK	them		them\RPP3NA
179	TOK	to		to\P
180	TOK	master		master\VMI----
181	TOK	tricky		tricky\JA
182	TOK	commands		command\N5P
183	TOK	and		and\CC
184	TOK	numerous		numerous\JA
185	TOK	parameter		parameter\N5S
186	TOK	settings		setting\N5P
187	TOK	to		to\P
188	TOK	get		get\VMI----
189	TOK	any		any\AG---6
190	TOK	work		work\N5S
191	TOK	done		do\VMC----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
192	TOK	Mosaic	BOS	mosaic\N5S
193	TOK	allows		allow\VMFDRS3
194	TOK	them		them\RPP3NA
195	TOK	to		to\P
196	TOK	forget		forget\VMI----
197	TOK	about		about\P
198	TOK	the		the\AT---6
199	TOK	theory		theory\N5S
200	TOK	behind		behind\P
201	TOK	the		the\AT---6
##	TAG	<name>
202	TOK	Internet		Internet\N46
##	TAG	</name>
203	TOK	and		and\CC
204	TOK	let		let\VMF6R66
205	TOK	the		the\AT---6
206	TOK	machinery		machinery\N5S
---	DLD	,		=\DELIM
207	TOK	in		in\P
208	TOK	this		this\AD---S
209	TOK	case		case\N5S
210	TOK	a		a\AI---S
211	TOK	brilliantly		brilliantly\DGA7
212	TOK	conceived		conceive\VMC----
213	TOK	program		program\VMF6R66
---	DLD	,		=\DELIM
214	TOK	do		do\V6FDR66
215	TOK	what		what\RW63N-
216	TOK	it		it\RPS3N6
217	TOK	is		be\V6FDRS3
218	TOK	supposed		suppose\VMC----
219	TOK	to		to\P
220	TOK	do		do\VMI----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<head>
221	TOK	Mosaic	BOS	mosaic\N5S
222	TOK	at		at\P
##	TAG	<name>
223	TOK	Maximum Thrust	EOS	Maximum_Thrust\N46
##	TAG	</name>
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
225	TOK	Following	BOS	following\P
226	TOK	this		this\AD---S
227	TOK	software		software\N5S
228	PGR	's		genmark\GENMARK
229	TOK	trajectory		trajectory\N5S
230	TOK	is		be\V6FDRS3
231	TOK	like		like\P
232	TOK	watching		watch\VMG----
233	TOK	a		a\AI---S
##	TAG	<name>
234	TOK	Saturn V		Saturn_V\N46
##	TAG	</name>
235	TOK	clawing		claw\VMG----
236	TOK	for		for\P
237	TOK	sky		sky\VMI----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
238	TOK	Back	BOS	back\N5S
239	TOK	in		in\P
240	TOK	the		the\AT---6
241	TOK	moon		moon\N5S
242	TOK	shot		shot\N5S
243	TOK	days		day\N5P
---	DLD	,		=\DELIM
244	TOK	the		the\AT---6
245	TOK	huge		huge\JA
246	TOK	booster		booster\N5S
247	TOK	would		will\VOFDA66
248	TOK	hang		hang\VMI----
249	TOK	over		over\P
250	TOK	the		the\AT---6
251	TOK	launchpad		launchpad\N5S
252	TOK	for		for\P
253	TOK	agonizing		agonizing\JA
254	TOK	seconds		second\N5P
---	DLD	,		=\DELIM
255	TOK	matching		match\VMG----
256	TOK	pounds		pound\N5P
257	TOK	of		of\P
258	TOK	thrust		thrust\N5S
259	TOK	against		against\P
260	TOK	gravity		gravity\N5S
261	TOK	in		in\P
262	TOK	a		a\AI---S
263	TOK	contest		contest\N5S
264	TOK	it		it\RPS3N6
265	TOK	seemed		seem\VMF6A66
266	TOK	unlikely		unlikely\JA
267	TOK	to		to\P
268	TOK	win		win\VMI----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
269	TOK	But	BOS	but\CC
270	TOK	then		then\DGA7
---	DLD	,		=\DELIM
271	TOK	miraculously		miraculously\DGA7
---	DLD	,		=\DELIM
272	TOK	it		it\RPS3N6
273	TOK	would		will\VOFDA66
274	TOK	clear		clear\VMI----
275	TOK	the		the\AT---6
276	TOK	tower		tower\N5S
---	DLD	,		=\DELIM
277	TOK	moving		move\VMG----
278	TOK	up		up\P
279	TOK	and		and\CC
280	TOK	downrange		downrange\DGA7
---	DLD	,		=\DELIM
281	TOK	ever		ever\DGA7
282	TOK	accelerating		accelerate\VMG----
---	DLD	,		=\DELIM
283	TOK	until		until\CS
284	TOK	it		it\RPS3N6
285	TOK	was		be\V6F-A66
286	TOK	but		but\CC
287	TOK	a		a\AI---S
288	TOK	searing		searing\JA
289	TOK	pinpoint		pinpoint\N5S
