##	TAG	<div1>
##	TAG	<head>
1	TOK	Autosomal	BOS	autosomal\JA
##	TAG	<name>
2	TOK	Dominant		Dominant\N46
##	TAG	</name>
3	TOK	and		and\CC
##	TAG	<name>
4	TOK	Recessive Inheritance	EOS	Recessive_Inheritance\N46
##	TAG	</name>
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
6	TOK	Many	BOS	many\AI---P
7	TOK	important		important\JA
8	TOK	and		and\CC
9	TOK	well		well\DGA7
---	DLI	-		=\DELIM
10	TOK	understood		understand\VMC----
11	TOK	genetic		genetic\JA
12	TOK	diseases		disease\N5P
13	TOK	are		be\V6FDR66
14	TOK	the		the\AT---6
15	TOK	result		result\N5S
16	TOK	of		of\P
17	TOK	a		a\AI---S
18	TOK	mutation		mutation\N5S
19	TOK	at		at\P
20	TOK	a		a\AI---S
21	TOK	single		single\JA
22	TOK	gene		gene\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
23	TOK	The	BOS	the\AT---6
##	TAG	<num>
24	TOK	1994		1994\X
##	TAG	</num>
25	TOK	edition		edition\N5S
26	TOK	of		of\P
##	TAG	<name>
27	TOK	McKusick		McKusick\N46
##	TAG	</name>
28	PGR	's		genmark\GENMARK
##	TAG	<name>
29	TOK	Mendelian Inheritance		Mendelian_Inheritance\N46
##	TAG	</name>
30	TOK	in		in\P
##	TAG	<name>
31	TOK	Man		Man\N46
##	TAG	</name>
32	TOK	lists		list\VMFDRS3
##	TAG	<num>
33	TOK	6678		6678\X
##	TAG	</num>
34	TOK	known		know\VMC----
35	TOK	single		single\JA
---	DLI	-		=\DELIM
36	TOK	gene		gene\N5S
37	TOK	or		or\CC
38	TOK	monogenic		monogenic\JA
39	TOK	traits		trait\N5P
40	TOK	defined		define\VMC----
41	TOK	thus		thus\DGA7
42	TOK	far		far\DGA7
43	TOK	in		in\P
44	TOK	the		the\AT---6
45	TOK	human		human\JA
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
46	TOK	Of	BOS	of\P
47	TOK	these		this\AD---P
---	DLD	,		=\DELIM
##	TAG	<num>
48	TOK	6188		6188\X
##	TAG	</num>
49	TOK	are		be\V6FDR66
50	TOK	located		locate\VMC----
51	TOK	on		on\P
52	TOK	autosomes		autosome\N5P
---	DLD	,		=\DELIM
53	TOK	and		and\CC
##	TAG	<num>
54	TOK	412		412\X
##	TAG	</num>
55	TOK	are		be\V6FDR66
56	TOK	located		locate\VMC----
57	TOK	on		on\P
58	TOK	the		the\AT---6
59	TOK	X		x\N5S
60	TOK	chromosome		chromosome\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
61	TOK	Single	BOS	single\JA
---	DLI	-		=\DELIM
62	TOK	gene		gene\N5S
63	TOK	traits		trait\N5P
64	TOK	are		be\V6FDR66
65	TOK	the		the\AT---6
66	TOK	focus		focus\N5S
67	TOK	of		of\P
68	TOK	much		much\DGA7
69	TOK	of		of\P
70	TOK	the		the\AT---6
71	TOK	rapid		rapid\JA
72	TOK	progress		progress\N5S
73	TOK	now		now\DGA7
74	TOK	being		be\VMG----
75	TOK	made		make\VMC----
76	TOK	in		in\P
77	TOK	medical		medical\JA
78	TOK	genetics		genetics\N56
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
79	TOK	In	BOS	in\P
80	TOK	many		many\AI---P
81	TOK	cases		case\N5P
82	TOK	these		this\AD---P
83	TOK	genes		gene\N5P
84	TOK	have		have\V6F6R66
85	TOK	been		be\VMC----
86	TOK	mapped		map\VMC----
87	TOK	to		to\P
88	TOK	specific		specific\JA
89	TOK	chromosome		chromosome\N5S
90	TOK	locations		location\N5P
---	DLD	,		=\DELIM
91	TOK	cloned		clone\VMF6A66
---	DLD	,		=\DELIM
92	TOK	and		and\CC
93	TOK	sequenced		sequence\VMF6A66
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
94	TOK	This	BOS	this\RDS3N-
95	TOK	leads		lead\VMFDRS3
96	TOK	to		to\P
97	TOK	new		new\JA
98	TOK	and		and\CC
99	TOK	exciting		exciting\JA
100	TOK	insights		insight\N5P
101	TOK	not		not\DGA7
102	TOK	only		only\DGA7
103	TOK	in		in\P
104	TOK	genetics		genetics\N56
105	TOK	but		but\CC
106	TOK	also		also\DGA7
107	TOK	in		in\P
108	TOK	the		the\AT---6
109	TOK	basic		basic\JA
110	TOK	pathophysiology		pathophysiology\N5S
111	TOK	of		of\P
112	TOK	disease		disease\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
