##	TAG	<div1>
##	TAG	<head>
##	TAG	<name>
1	TOK	PCR-based DNA	BOS	PCR-based_DNA\N46
##	TAG	</name>
2	TOK	cloning		clone\VMG----
3	TOK	and		and\CC
##	TAG	<name>
4	TOK	DNA		DNA\N46
##	TAG	</name>
5	TOK	analyses	EOS	analysis\N5P
##	TAG	</head>
##	TAG	<head>
##	TAG	<name pos="N46" type="other">
7	TOK	Principles of PCR	BOS	Principles_of_PCR\N46
##	TAG	</name>
tf	TOK		EOS	=\DELS
##	TAG	</head>
##	TAG	<head>
##	TAG	<name>
9	TOK	PCR	BOS	PCR\N46
##	TAG	</name>
10	TOK	is		be\V6FDRS3
11	TOK	a		a\AI---S
12	TOK	cell		cell\N5S
---	DLI	-		=\DELIM
13	TOK	free		free\JA
14	TOK	method		method\N5S
15	TOK	of		of\P
##	TAG	<name>
16	TOK	DNA		DNA\N46
##	TAG	</name>
17	TOK	cloning	EOS	clone\VMG----
##	TAG	</head>
##	TAG	<head>
19	TOK	The	BOS	the\AT---6
20	TOK	standard		standard\JA
##	TAG	<name>
21	TOK	PCR		PCR\N46
##	TAG	</name>
22	TOK	reaction	EOS	reaction\N5S
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
##	TAG	<name>
24	TOK	PCR	BOS	PCR\N46
##	TAG	</name>
25	TOK	is		be\V6FDRS3
26	TOK	a		a\AI---S
27	TOK	rapid		rapid\JA
28	TOK	and		and\CC
29	TOK	versatile		versatile\JA
##	TAG	<foreign lang="LA" pos="JA">
30	TOK	in vitro		in_vitro\JA
##	TAG	</foreign>
31	TOK	method		method\N5S
32	TOK	for		for\P
33	TOK	amplifying		amplify\VMG----
34	TOK	defined		define\VMC----
35	TOK	target		target\N5S
##	TAG	<name>
36	TOK	DNA		DNA\N46
##	TAG	</name>
37	TOK	sequences		sequence\N5P
38	TOK	present		present\VMF6R66
39	TOK	within		within\P
40	TOK	a		a\AI---S
41	TOK	source		source\N5S
42	TOK	of		of\P
##	TAG	<name>
43	TOK	DNA		DNA\N46
##	TAG	</name>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
44	TOK	Usually	BOS	usually\DGA7
---	DLD	,		=\DELIM
45	TOK	the		the\AT---6
46	TOK	method		method\N5S
47	TOK	is		be\V6FDRS3
48	TOK	designed		design\VMC----
49	TOK	to		to\P
50	TOK	permit		permit\VMI----
51	TOK	selective		selective\JA
52	TOK	amplification		amplification\N5S
53	TOK	of		of\P
54	TOK	a		a\AI---S
55	TOK	specific		specific\JA
56	TOK	target		target\N5S
##	TAG	<name>
57	TOK	DNA		DNA\N46
##	TAG	</name>
58	TOK	sequence		sequence\N5S
59	TOK	or		or\CC
60	TOK	sequences		sequence\N5P
61	TOK	within		within\P
62	TOK	a		a\AI---S
63	TOK	heterogeneous		heterogeneous\JA
64	TOK	collection		collection\N5S
65	TOK	of		of\P
##	TAG	<name>
66	TOK	DNA		DNA\N46
##	TAG	</name>
67	TOK	sequences		sequence\N5P
---	DLE	(		=\DELIM
##	TAG	<foreign lang="LA" pos="N5S">
68	TOK	e.g.		e.g.\N5S
##	TAG	</foreign>
69	TOK	total		total\JA
70	TOK	genomic		genomic\JA
##	TAG	<name>
71	TOK	DNA		DNA\N46
##	TAG	</name>
72	TOK	or		or\CC
73	TOK	a		a\AI---S
74	TOK	complex		complex\JA
75	TOK	cDNA		cdna\N5S
76	TOK	population		population\N5S
---	DLD	)		=\DELIM
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
77	TOK	To	BOS	to\P
78	TOK	permit		permit\VMI----
79	TOK	such		such\JA
80	TOK	selective		selective\JA
81	TOK	amplification		amplification\N5S
---	DLD	,		=\DELIM
82	TOK	some		some\AG---6
83	TOK	prior		prior\JA
##	TAG	<name>
84	TOK	DNA		DNA\N46
##	TAG	</name>
85	TOK	sequence		sequence\N5S
86	TOK	information		information\N5S
87	TOK	from		from\P
88	TOK	the		the\AT---6
89	TOK	target		target\N5S
90	TOK	sequences		sequence\N5P
91	TOK	is		be\V6FDRS3
92	TOK	required		require\VMC----
---	DLD	,		=\DELIM
93	TOK	enabling		enable\VMG----
94	TOK	the		the\AT---6
95	TOK	construction		construction\N5S
96	TOK	of		of\P
##	TAG	<num>
97	TOK	two		two\X
##	TAG	</num>
98	TOK	oligonucleotide		oligonucleotide\N5S
99	TOK	primer		primer\N5S
100	TOK	sequences		sequence\N5P
---	DLE	(		=\DELIM
101	TOK	often		often\DGA7
##	TAG	<na type="function">
102	TOK	15-30		noanat\W
##	TAG	</na>
103	TOK	nucleotides		nucleotide\N5P
104	TOK	long		long\DGA7
---	DLD	)		=\DELIM
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
105	TOK	Such	BOS	such\JA
106	TOK	so		so\CC
---	DLI	-		=\DELIM
107	TOK	called		call\VMC----
108	TOK	amplimers		amplimers\N5P
---	DLE	,		=\DELIM
109	TOK	when		when\CS
110	TOK	added		add\VMC----
111	TOK	to		to\P
112	TOK	denatured		denature\VMC----
113	TOK	genomic		genomic\JA
##	TAG	<name>
114	TOK	DNA		DNA\N46
##	TAG	</name>
---	DLE	,		=\DELIM
115	TOK	will		will\VOFDR66
116	TOK	bind		bind\VMI----
117	TOK	specifically		specifically\DGA7
118	TOK	to		to\P
119	TOK	complementary		complementary\JA
##	TAG	<name>
120	TOK	DNA		DNA\N46
##	TAG	</name>
121	TOK	sequences		sequence\N5P
122	TOK	immediately		immediately\DGA7
123	TOK	flanking		flank\VMG----
124	TOK	the		the\AT---6
125	TOK	desired		desire\VMC----
126	TOK	target		target\N5S
127	TOK	region		region\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
128	TOK	They	BOS	they\RPP3NN
129	TOK	are		be\V6FDR66
130	TOK	designed		design\VMC----
131	TOK	so		so\DGA7
132	TOK	that		that\AD---S
---	DLD	,		=\DELIM
133	TOK	in		in\P
134	TOK	the		the\AT---6
135	TOK	presence		presence\N5S
136	TOK	of		of\P
137	TOK	a		a\AI---S
138	TOK	suitably		suitably\DGA7
139	TOK	heat		heat\N5S
---	DLI	-		=\DELIM
140	TOK	stable		stable\JA
##	TAG	<name>
141	TOK	DNA		DNA\N46
##	TAG	</name>
142	TOK	polymerase		polymerase\N5S
143	TOK	and		and\CC
##	TAG	<name>
144	TOK	DNA		DNA\N46
##	TAG	</name>
145	TOK	precursors		precursor\N5P
---	DLE	(		=\DELIM
146	TOK	the		the\AT---6
##	TAG	<num>
147	TOK	four		four\X
##	TAG	</num>
148	TOK	deoxynucleoside		deoxynucleoside\N5S
149	TOK	triphosphates		triphosphate\N5P
---	DLD	,		=\DELIM
150	TOK	dATP		dATP\N5P
---	DLD	,		=\DELIM
151	TOK	dCTP		dCTP\N5P
---	DLD	,		=\DELIM
152	TOK	dGTP		dGTP\N5S
153	TOK	and		and\CC
154	TOK	dTTP		dTTP\N5S
---	DLD	)		=\DELIM
---	DLD	,		=\DELIM
155	TOK	they		they\RPP3NN
156	TOK	can		can\VOFDR66
157	TOK	initiate		initiate\VMI----
158	TOK	the		the\AT---6
159	TOK	synthesis		synthesis\N5S
160	TOK	of		of\P
161	TOK	new		new\JA
##	TAG	<name>
162	TOK	DNA		DNA\N46
##	TAG	</name>
163	TOK	strands		strand\N5P
164	TOK	which		which\RW63N-
165	TOK	are		be\V6FDR66
166	TOK	complementary		complementary\JA
167	TOK	to		to\P
168	TOK	the		the\AT---6
169	TOK	individual		individual\JA
##	TAG	<name>
170	TOK	DNA		DNA\N46
##	TAG	</name>
171	TOK	strands		strand\N5P
172	TOK	of		of\P
173	TOK	the		the\AT---6
174	TOK	target		target\N5S
##	TAG	<name>
175	TOK	DNA		DNA\N46
##	TAG	</name>
176	TOK	segment		segment\VMF6R66
---	DLD	,		=\DELIM
177	TOK	and		and\CC
178	TOK	which		which\RW63N-
179	TOK	will		will\VOFDR66
180	TOK	overlap		overlap\VMI----
##	TAG	<loc pos="RPP3N-">
181	TOK	each other		each_other\RPP3N-
##	TAG	</loc>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
##	TAG	<name>
182	TOK	PCR	BOS	PCR\N46
##	TAG	</name>
183	TOK	is		be\V6FDRS3
184	TOK	a		a\AI---S
185	TOK	chain		chain\N5S
186	TOK	reaction		reaction\N5S
187	TOK	because		because\CS
188	TOK	newly		newly\DGA7
189	TOK	synthesized		synthesize\VMF6A66
##	TAG	<name>
190	TOK	DNA		DNA\N46
##	TAG	</name>
191	TOK	strands		strand\N5P
192	TOK	will		will\VOFDR66
193	TOK	act		act\VMI----
194	TOK	as		as\P
195	TOK	templates		template\N5P
196	TOK	for		for\P
197	TOK	further		further\JA
##	TAG	<name>
198	TOK	DNA		DNA\N46
##	TAG	</name>
199	TOK	synthesis		synthesis\N5S
200	TOK	in		in\P
201	TOK	subsequent		subsequent\JA
202	TOK	cycles		cycle\N5P
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
203	TOK	After	BOS	after\P
204	TOK	about		about\DGA7
##	TAG	<num>
205	TOK	30		30\X
##	TAG	</num>
206	TOK	cycles		cycle\N5P
207	TOK	of		of\P
##	TAG	<name>
208	TOK	DNA		DNA\N46
##	TAG	</name>
209	TOK	synthesis		synthesis\N5S
---	DLD	,		=\DELIM
210	TOK	the		the\AT---6
211	TOK	products		product\N5P
212	TOK	of		of\P
213	TOK	the		the\AT---6
##	TAG	<name>
214	TOK	PCR		PCR\N46
##	TAG	</name>
215	TOK	will		will\VOFDR66
216	TOK	include		include\VMI----
---	DLD	,		=\DELIM
217	TOK	in		in\P
218	TOK	addition		addition\N5S
219	TOK	to		to\P
220	TOK	the		the\AT---6
221	TOK	starting		start\VMG----
##	TAG	<name>
222	TOK	DNA		DNA\N46
##	TAG	</name>
---	DLE	,		=\DELIM
223	TOK	about		about\P
224	TOK	xxx		noanat\W
225	TOK	copies		copy\N5P
226	TOK	of		of\P
227	TOK	the		the\AT---6
228	TOK	specific		specific\JA
229	TOK	target		target\N5S
230	TOK	sequence		sequence\N5S
---	DLD	,		=\DELIM
231	TOK	an		an\AI---S
232	TOK	amount		amount\N5S
233	TOK	which		which\RW63N-
234	TOK	is		be\V6FDRS3
235	TOK	easily		easily\DGA7
236	TOK	visualized		visualize\VMC----
237	TOK	as		as\P
238	TOK	a		a\AI---S
239	TOK	discrete		discrete\JA
240	TOK	band		band\N5S
241	TOK	of		of\P
242	TOK	a		a\AI---S
243	TOK	specific		specific\JA
244	TOK	size		size\N5S
245	TOK	when		when\CS
246	TOK	submitted		submit\VMC----
247	TOK	to		to\P
248	TOK	agarose		agarose\N5S
249	TOK	gel		gel\N5S
250	TOK	electrophoresis		electrophoresis\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
251	TOK	A	BOS	a\AI---S
252	TOK	heat		heat\N5S
---	DLI	-		=\DELIM
253	TOK	stable		stable\JA
##	TAG	<name>
254	TOK	DNA		DNA\N46
##	TAG	</name>
