##	TAG	<div1>
##	TAG	<head>
##	TAG	<name>
1	TOK	Randomised	BOS	Randomised\N46
##	TAG	</name>
2	TOK	placebo		placebo\N5S
---	DLI	-		=\DELIM
3	TOK	controlled		control\VMC----
4	TOK	trial		trial\N5S
5	TOK	of		of\P
6	TOK	ritonavir		ritonavir\N5S
7	TOK	in		in\P
8	TOK	advanced		advance\VMC----
##	TAG	<name>
9	TOK	HIV		HIV\N46
##	TAG	</name>
---	DLE	-		=\DELIM
##	TAG	<num>
10	TOK	1		1\X
##	TAG	</num>
11	TOK	disease	EOS	disease\N5S
##	TAG	</head>
##	TAG	<head>
13	TOK	Introduction	BOS	introduction\N5S
tf	TOK		EOS	=\DELS
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
15	TOK	Zidovudine	BOS	zidovudine\N5S
16	TOK	was		be\V6F-A66
17	TOK	the		the\AT---6
18	TOK	first		first\MOS
19	TOK	antiretroviral		antiretroviral\JA
20	TOK	treatment		treatment\N5S
21	TOK	shown		show\VMC----
22	TOK	to		to\P
23	TOK	lower		lower\VMI----
24	TOK	the		the\AT---6
25	TOK	rate		rate\N5S
26	TOK	of		of\P
##	TAG	<name>
27	TOK	AIDS		AIDS\N46
##	TAG	</name>
---	DLE	-		=\DELIM
28	TOK	related		relate\VMC----
29	TOK	death		death\N5S
30	TOK	significantly		significantly\DGA7
31	TOK	in		in\P
32	TOK	a		a\AI---S
33	TOK	placebo		placebo\N5S
---	DLI	-		=\DELIM
34	TOK	controlled		control\VMC----
35	TOK	trial		trial\N5S
36	TOK	of		of\P
37	TOK	patients		patient\N5P
38	TOK	with		with\P
39	TOK	advanced		advance\VMC----
##	TAG	<name>
40	TOK	HIV		HIV\N46
##	TAG	</name>
---	DLE	-		=\DELIM
41	TOK	disease		disease\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
42	TOK	Subsequent	BOS	subsequent\JA
43	TOK	placebo		placebo\N5S
---	DLI	-		=\DELIM
44	TOK	controlled		control\VMC----
45	TOK	clinical		clinical\JA
46	TOK	trials		trial\N5P
47	TOK	have		have\V6F6R66
48	TOK	shown		show\VMC----
49	TOK	its		its\APS3N6
50	TOK	clinical		clinical\JA
51	TOK	effectiveness		effectiveness\N5S
52	TOK	in		in\P
53	TOK	the		the\AT---6
54	TOK	prevention		prevention\N5S
55	TOK	of		of\P
56	TOK	minor		minor\JA
57	TOK	opportunistic		opportunistic\JA
58	TOK	infections		infection\N5P
59	TOK	in		in\P
60	TOK	patients		patient\N5P
61	TOK	with		with\P
62	TOK	moderate		moderate\JA
63	TOK	immunodeficiency		immunodeficiency\N5S
64	TOK	and		and\CC
65	TOK	in		in\P
66	TOK	those		that\RDP3N-
67	TOK	with		with\P
68	TOK	primary		primary\JA
##	TAG	<name>
69	TOK	HIV		HIV\N46
##	TAG	</name>
---	DLE	-		=\DELIM
##	TAG	<num>
70	TOK	1		1\X
##	TAG	</num>
71	TOK	infection		infection\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
72	TOK	Compared	BOS	compare\VMC----
73	TOK	with		with\P
74	TOK	zidovudine		zidovudine\N5S
75	TOK	monotherapy		monotherapy\N5P
---	DLD	,		=\DELIM
76	TOK	other		other\JA
77	TOK	nucleoside		nucleoside\N5S
78	TOK	analogues		analogue\N5P
---	DLE	(		=\DELIM
79	TOK	alone		alone\JA
80	TOK	or		or\CC
81	TOK	in		in\P
82	TOK	combination		combination\N5S
83	TOK	with		with\P
84	TOK	zidovudine		zidovudine\N5S
---	DLD	)		=\DELIM
85	TOK	have		have\V6F6R66
86	TOK	delayed		delay\VMC----
87	TOK	the		the\AT---6
88	TOK	onset		onset\N5S
89	TOK	of		of\P
##	TAG	<name>
90	TOK	HIV		HIV\N46
##	TAG	</name>
---	DLE	-		=\DELIM
##	TAG	<num>
91	TOK	1		1\X
##	TAG	</num>
92	TOK	disease		disease\N5S
93	TOK	progression		progression\N5S
94	TOK	or		or\CC
95	TOK	death		death\N5S
96	TOK	in		in\P
97	TOK	patients		patient\N5P
98	TOK	with		with\P
99	TOK	moderate		moderate\JA
100	TOK	immunodeficiency		immunodeficiency\N5S
101	TOK	in		in\P
102	TOK	relatively		relatively\DGA7
103	TOK	long		long\JA
104	TOK	clinical		clinical\JA
105	TOK	trials		trial\N5P
---	DLD	,		=\DELIM
106	TOK	particularly		particularly\DGA7
107	TOK	as		as\P
108	TOK	initial		initial\JA
109	TOK	therapy		therapy\N5S
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
